Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,1967,01,37.4,Y
IDCJAC0002,015590,1967,02,30.9,Y
IDCJAC0002,015590,1967,03,28.5,Y
IDCJAC0002,015590,1967,04,28.5,Y
IDCJAC0002,015590,1967,05,24.0,Y
IDCJAC0002,015590,1967,06,18.3,Y
IDCJAC0002,015590,1967,07,18.7,Y
IDCJAC0002,015590,1967,08,22.3,Y
IDCJAC0002,015590,1967,09,27.3,Y
IDCJAC0002,015590,1967,10,34.2,Y
IDCJAC0002,015590,1967,11,34.4,Y
IDCJAC0002,015590,1967,12,35.5,Y
IDCJAC0002,015590,1968,01,36.0,Y
IDCJAC0002,015590,1968,02,35.8,Y
IDCJAC0002,015590,1968,03,33.8,Y
IDCJAC0002,015590,1968,04,30.0,Y
IDCJAC0002,015590,1968,05,18.8,Y
IDCJAC0002,015590,1968,06,21.2,Y
IDCJAC0002,015590,1968,07,15.9,Y
IDCJAC0002,015590,1968,08,19.9,Y
IDCJAC0002,015590,1968,09,24.0,Y
IDCJAC0002,015590,1968,10,29.6,Y
IDCJAC0002,015590,1968,11,33.1,Y
IDCJAC0002,015590,1968,12,33.2,Y
IDCJAC0002,015590,1969,01,38.5,Y
IDCJAC0002,015590,1969,02,32.9,Y
IDCJAC0002,015590,1969,03,32.0,Y
IDCJAC0002,015590,1969,04,28.8,Y
IDCJAC0002,015590,1969,05,23.9,Y
IDCJAC0002,015590,1969,06,19.7,Y
IDCJAC0002,015590,1969,07,19.4,Y
IDCJAC0002,015590,1969,08,22.8,Y
IDCJAC0002,015590,1969,09,25.2,Y
IDCJAC0002,015590,1969,10,32.5,Y
IDCJAC0002,015590,1969,11,34.5,Y
IDCJAC0002,015590,1969,12,35.7,Y
IDCJAC0002,015590,1970,01,37.9,Y
IDCJAC0002,015590,1970,02,36.3,Y
IDCJAC0002,015590,1970,03,32.5,Y
IDCJAC0002,015590,1970,04,27.9,Y
IDCJAC0002,015590,1970,05,22.0,Y
IDCJAC0002,015590,1970,06,23.5,Y
IDCJAC0002,015590,1970,07,19.7,Y
IDCJAC0002,015590,1970,08,21.7,Y
IDCJAC0002,015590,1970,09,24.7,Y
IDCJAC0002,015590,1970,10,31.9,Y
IDCJAC0002,015590,1970,11,32.2,Y
IDCJAC0002,015590,1970,12,34.6,Y
IDCJAC0002,015590,1971,01,38.7,Y
IDCJAC0002,015590,1971,02,37.0,Y
IDCJAC0002,015590,1971,03,33.3,Y
IDCJAC0002,015590,1971,04,26.8,Y
IDCJAC0002,015590,1971,05,24.3,Y
IDCJAC0002,015590,1971,06,17.6,Y
IDCJAC0002,015590,1971,07,19.6,Y
IDCJAC0002,015590,1971,08,22.4,Y
IDCJAC0002,015590,1971,09,28.6,Y
IDCJAC0002,015590,1971,10,33.2,Y
IDCJAC0002,015590,1971,11,33.8,Y
IDCJAC0002,015590,1971,12,35.0,Y
IDCJAC0002,015590,1972,01,35.7,Y
IDCJAC0002,015590,1972,02,34.6,Y
IDCJAC0002,015590,1972,03,30.8,Y
IDCJAC0002,015590,1972,04,26.8,Y
IDCJAC0002,015590,1972,05,22.0,Y
IDCJAC0002,015590,1972,06,20.8,Y
IDCJAC0002,015590,1972,07,20.1,Y
IDCJAC0002,015590,1972,08,23.7,Y
IDCJAC0002,015590,1972,09,27.1,Y
IDCJAC0002,015590,1972,10,32.8,Y
IDCJAC0002,015590,1972,11,34.5,Y
IDCJAC0002,015590,1972,12,38.4,Y
IDCJAC0002,015590,1973,01,37.8,Y
IDCJAC0002,015590,1973,02,34.8,Y
IDCJAC0002,015590,1973,03,34.1,Y
IDCJAC0002,015590,1973,04,30.4,Y
IDCJAC0002,015590,1973,05,25.1,Y
IDCJAC0002,015590,1973,06,19.7,Y
IDCJAC0002,015590,1973,07,21.1,Y
IDCJAC0002,015590,1973,08,21.8,Y
IDCJAC0002,015590,1973,09,25.9,Y
IDCJAC0002,015590,1973,10,30.3,Y
IDCJAC0002,015590,1973,11,32.2,Y
IDCJAC0002,015590,1973,12,34.1,Y
IDCJAC0002,015590,1974,01,31.1,Y
IDCJAC0002,015590,1974,02,30.0,Y
IDCJAC0002,015590,1974,03,30.6,Y
IDCJAC0002,015590,1974,04,25.1,Y
IDCJAC0002,015590,1974,05,21.2,Y
IDCJAC0002,015590,1974,06,19.3,Y
IDCJAC0002,015590,1974,07,22.7,Y
IDCJAC0002,015590,1974,08,21.9,Y
IDCJAC0002,015590,1974,09,23.1,Y
IDCJAC0002,015590,1974,10,28.0,Y
IDCJAC0002,015590,1974,11,32.0,Y
IDCJAC0002,015590,1974,12,34.7,Y
IDCJAC0002,015590,1975,01,35.9,Y
IDCJAC0002,015590,1975,02,31.9,Y
IDCJAC0002,015590,1975,03,31.9,Y
IDCJAC0002,015590,1975,04,28.6,Y
IDCJAC0002,015590,1975,05,25.2,Y
IDCJAC0002,015590,1975,06,20.2,Y
IDCJAC0002,015590,1975,07,22.4,Y
IDCJAC0002,015590,1975,08,22.1,Y
IDCJAC0002,015590,1975,09,26.8,Y
