Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,015590,2010,01,01,41.3,1,Y
IDCJAC0010,015590,2010,01,02,35.6,1,Y
IDCJAC0010,015590,2010,01,03,35.5,1,Y
IDCJAC0010,015590,2010,01,04,35.8,1,Y
IDCJAC0010,015590,2010,01,05,34.6,1,Y
IDCJAC0010,015590,2010,01,06,31.6,1,Y
IDCJAC0010,015590,2010,01,07,23.4,1,Y
IDCJAC0010,015590,2010,01,08,29.2,1,Y
IDCJAC0010,015590,2010,01,09,29.3,1,Y
IDCJAC0010,015590,2010,01,10,30.4,1,Y
IDCJAC0010,015590,2010,01,11,34.5,1,Y
IDCJAC0010,015590,2010,01,12,35.9,1,Y
IDCJAC0010,015590,2010,01,13,30.6,1,Y
IDCJAC0010,015590,2010,01,14,34.5,1,Y
IDCJAC0010,015590,2010,01,15,35.9,1,Y
IDCJAC0010,015590,2010,01,16,37.5,1,Y
IDCJAC0010,015590,2010,01,17,33.3,1,Y
IDCJAC0010,015590,2010,01,18,31.1,1,Y
IDCJAC0010,015590,2010,01,19,33.0,1,Y
IDCJAC0010,015590,2010,01,20,34.3,1,Y
IDCJAC0010,015590,2010,01,21,37.8,1,Y
IDCJAC0010,015590,2010,01,22,40.7,1,Y
IDCJAC0010,015590,2010,01,23,38.8,1,Y
IDCJAC0010,015590,2010,01,24,39.3,1,Y
IDCJAC0010,015590,2010,01,25,39.7,1,Y
IDCJAC0010,015590,2010,01,26,40.6,1,Y
IDCJAC0010,015590,2010,01,27,39.8,1,Y
IDCJAC0010,015590,2010,01,28,39.2,1,Y
IDCJAC0010,015590,2010,01,29,35.4,1,Y
IDCJAC0010,015590,2010,01,30,36.0,1,Y
IDCJAC0010,015590,2010,01,31,38.1,1,Y
IDCJAC0010,015590,2010,02,01,36.6,1,Y
IDCJAC0010,015590,2010,02,02,37.3,1,Y
IDCJAC0010,015590,2010,02,03,37.7,1,Y
IDCJAC0010,015590,2010,02,04,37.1,1,Y
IDCJAC0010,015590,2010,02,05,37.5,1,Y
IDCJAC0010,015590,2010,02,06,36.4,1,Y
IDCJAC0010,015590,2010,02,07,36.6,1,Y
IDCJAC0010,015590,2010,02,08,36.1,1,Y
IDCJAC0010,015590,2010,02,09,37.2,1,Y
IDCJAC0010,015590,2010,02,10,36.5,1,Y
IDCJAC0010,015590,2010,02,11,37.7,1,Y
IDCJAC0010,015590,2010,02,12,36.1,1,Y
IDCJAC0010,015590,2010,02,13,33.0,1,Y
IDCJAC0010,015590,2010,02,14,34.9,1,Y
IDCJAC0010,015590,2010,02,15,35.1,1,Y
IDCJAC0010,015590,2010,02,16,36.4,1,Y
IDCJAC0010,015590,2010,02,17,35.2,1,Y
IDCJAC0010,015590,2010,02,18,35.5,1,Y
IDCJAC0010,015590,2010,02,19,35.6,1,Y
IDCJAC0010,015590,2010,02,20,37.6,1,Y
IDCJAC0010,015590,2010,02,21,38.3,1,Y
IDCJAC0010,015590,2010,02,22,38.8,1,Y
IDCJAC0010,015590,2010,02,23,33.0,1,Y
IDCJAC0010,015590,2010,02,24,24.4,1,Y
IDCJAC0010,015590,2010,02,25,27.5,1,Y
IDCJAC0010,015590,2010,02,26,27.0,1,Y
IDCJAC0010,015590,2010,02,27,23.8,1,Y
IDCJAC0010,015590,2010,02,28,19.8,1,Y
IDCJAC0010,015590,2010,03,01,20.4,1,Y
IDCJAC0010,015590,2010,03,02,25.3,1,Y
IDCJAC0010,015590,2010,03,03,25.8,1,Y
IDCJAC0010,015590,2010,03,04,30.7,1,Y
IDCJAC0010,015590,2010,03,05,34.3,1,Y
IDCJAC0010,015590,2010,03,06,29.6,1,Y
IDCJAC0010,015590,2010,03,07,27.8,1,Y
IDCJAC0010,015590,2010,03,08,28.8,1,Y
IDCJAC0010,015590,2010,03,09,28.7,1,Y
IDCJAC0010,015590,2010,03,10,28.0,1,Y
IDCJAC0010,015590,2010,03,11,25.9,1,Y
IDCJAC0010,015590,2010,03,12,27.4,1,Y
IDCJAC0010,015590,2010,03,13,28.7,1,Y
IDCJAC0010,015590,2010,03,14,30.4,1,Y
IDCJAC0010,015590,2010,03,15,31.5,1,Y
IDCJAC0010,015590,2010,03,16,31.6,1,Y
IDCJAC0010,015590,2010,03,17,32.2,1,Y
IDCJAC0010,015590,2010,03,18,31.6,1,Y
IDCJAC0010,015590,2010,03,19,31.9,1,Y
IDCJAC0010,015590,2010,03,20,31.2,1,Y
IDCJAC0010,015590,2010,03,21,31.5,1,Y
IDCJAC0010,015590,2010,03,22,32.4,1,Y
IDCJAC0010,015590,2010,03,23,31.5,1,Y
IDCJAC0010,015590,2010,03,24,32.0,1,Y
IDCJAC0010,015590,2010,03,25,31.6,1,Y
IDCJAC0010,015590,2010,03,26,32.0,1,Y
IDCJAC0010,015590,2010,03,27,31.9,1,Y
IDCJAC0010,015590,2010,03,28,33.6,1,Y
IDCJAC0010,015590,2010,03,29,34.1,1,Y
IDCJAC0010,015590,2010,03,30,31.5,1,Y
IDCJAC0010,015590,2010,03,31,30.5,1,Y
IDCJAC0010,015590,2010,04,01,30.0,1,Y
IDCJAC0010,015590,2010,04,02,30.0,1,Y
IDCJAC0010,015590,2010,04,03,30.5,1,Y
IDCJAC0010,015590,2010,04,04,31.9,1,Y
IDCJAC0010,015590,2010,04,05,33.7,1,Y
IDCJAC0010,015590,2010,04,06,36.0,1,Y
IDCJAC0010,015590,2010,04,07,35.4,1,Y
IDCJAC0010,015590,2010,04,08,31.4,1,Y
IDCJAC0010,015590,2010,04,09,30.8,1,Y
IDCJAC0010,015590,2010,04,10,25.1,1,Y
IDCJAC0010,015590,2010,04,11,22.3,1,Y
IDCJAC0010,015590,2010,04,12,23.8,1,Y
IDCJAC0010,015590,2010,04,13,22.5,1,Y
IDCJAC0010,015590,2010,04,14,24.1,1,Y
IDCJAC0010,015590,2010,04,15,24.8,1,Y
